year,level_1,level_2,value
1980,Total,Single Man & Single Woman,904
1980,Total,Single Man & Divorced Woman,7
1980,Total,Single Man & Widowed Woman,2
1980,Total,Divorced Man & Single Woman,16
1980,Total,Divorced Man & Divorced Woman,3
1980,Total,Divorced Man & Widowed Woman,2
1980,Total,Widowed Man & Single Woman,9
1980,Total,Widowed Man & Divorced Woman,0
1980,Total,Widowed Man & Widowed Woman,0
1980,Chinese,Single Man & Single Woman,810
1980,Chinese,Single Man & Divorced Woman,3
1980,Chinese,Single Man & Widowed Woman,2
1980,Chinese,Divorced Man & Single Woman,12
1980,Chinese,Divorced Man & Divorced Woman,1
1980,Chinese,Divorced Man & Widowed Woman,2
1980,Chinese,Widowed Man & Single Woman,8
1980,Chinese,Widowed Man & Divorced Woman,0
1980,Chinese,Widowed Man & Widowed Woman,0
1980,Indians,Single Man & Single Woman,47
1980,Indians,Single Man & Divorced Woman,1
1980,Indians,Single Man & Widowed Woman,0
1980,Indians,Divorced Man & Single Woman,0
1980,Indians,Divorced Man & Divorced Woman,0
1980,Indians,Divorced Man & Widowed Woman,0
1980,Indians,Widowed Man & Single Woman,1
1980,Indians,Widowed Man & Divorced Woman,0
1980,Indians,Widowed Man & Widowed Woman,0
1980,Others,Single Man & Single Woman,10
1980,Others,Single Man & Divorced Woman,0
1980,Others,Single Man & Widowed Woman,0
1980,Others,Divorced Man & Single Woman,1
1980,Others,Divorced Man & Divorced Woman,1
1980,Others,Divorced Man & Widowed Woman,0
1980,Others,Widowed Man & Single Woman,0
1980,Others,Widowed Man & Divorced Woman,0
1980,Others,Widowed Man & Widowed Woman,0
1980,Inter-ethnic,Single Man & Single Woman,37
1980,Inter-ethnic,Single Man & Divorced Woman,3
1980,Inter-ethnic,Single Man & Widowed Woman,0
1980,Inter-ethnic,Divorced Man & Single Woman,3
1980,Inter-ethnic,Divorced Man & Divorced Woman,1
1980,Inter-ethnic,Divorced Man & Widowed Woman,0
1980,Inter-ethnic,Widowed Man & Single Woman,0
1980,Inter-ethnic,Widowed Man & Divorced Woman,0
1980,Inter-ethnic,Widowed Man & Widowed Woman,0
1981,Total,Single Man & Single Woman,1035
1981,Total,Single Man & Divorced Woman,5
1981,Total,Single Man & Widowed Woman,1
1981,Total,Divorced Man & Single Woman,14
1981,Total,Divorced Man & Divorced Woman,2
1981,Total,Divorced Man & Widowed Woman,0
1981,Total,Widowed Man & Single Woman,7
1981,Total,Widowed Man & Divorced Woman,1
1981,Total,Widowed Man & Widowed Woman,1
1981,Chinese,Single Man & Single Woman,937
1981,Chinese,Single Man & Divorced Woman,4
1981,Chinese,Single Man & Widowed Woman,1
1981,Chinese,Divorced Man & Single Woman,13
1981,Chinese,Divorced Man & Divorced Woman,1
1981,Chinese,Divorced Man & Widowed Woman,0
1981,Chinese,Widowed Man & Single Woman,5
1981,Chinese,Widowed Man & Divorced Woman,1
1981,Chinese,Widowed Man & Widowed Woman,1
1981,Indians,Single Man & Single Woman,50
1981,Indians,Single Man & Divorced Woman,0
1981,Indians,Single Man & Widowed Woman,0
1981,Indians,Divorced Man & Single Woman,0
1981,Indians,Divorced Man & Divorced Woman,0
1981,Indians,Divorced Man & Widowed Woman,0
1981,Indians,Widowed Man & Single Woman,2
1981,Indians,Widowed Man & Divorced Woman,0
1981,Indians,Widowed Man & Widowed Woman,0
1981,Others,Single Man & Single Woman,11
1981,Others,Single Man & Divorced Woman,0
1981,Others,Single Man & Widowed Woman,0
1981,Others,Divorced Man & Single Woman,0
1981,Others,Divorced Man & Divorced Woman,1
1981,Others,Divorced Man & Widowed Woman,0
1981,Others,Widowed Man & Single Woman,0
1981,Others,Widowed Man & Divorced Woman,0
1981,Others,Widowed Man & Widowed Woman,0
1981,Inter-ethnic,Single Man & Single Woman,37
1981,Inter-ethnic,Single Man & Divorced Woman,1
1981,Inter-ethnic,Single Man & Widowed Woman,0
1981,Inter-ethnic,Divorced Man & Single Woman,1
1981,Inter-ethnic,Divorced Man & Divorced Woman,0
1981,Inter-ethnic,Divorced Man & Widowed Woman,0
1981,Inter-ethnic,Widowed Man & Single Woman,0
1981,Inter-ethnic,Widowed Man & Divorced Woman,0
1981,Inter-ethnic,Widowed Man & Widowed Woman,0
1982,Total,Single Man & Single Woman,1178
1982,Total,Single Man & Divorced Woman,11
1982,Total,Single Man & Widowed Woman,3
1982,Total,Divorced Man & Single Woman,10
1982,Total,Divorced Man & Divorced Woman,1
1982,Total,Divorced Man & Widowed Woman,2
1982,Total,Widowed Man & Single Woman,5
1982,Total,Widowed Man & Divorced Woman,0
1982,Total,Widowed Man & Widowed Woman,1
1982,Chinese,Single Man & Single Woman,1029
1982,Chinese,Single Man & Divorced Woman,7
1982,Chinese,Single Man & Widowed Woman,2
1982,Chinese,Divorced Man & Single Woman,4
1982,Chinese,Divorced Man & Divorced Woman,0
1982,Chinese,Divorced Man & Widowed Woman,0
1982,Chinese,Widowed Man & Single Woman,5
1982,Chinese,Widowed Man & Divorced Woman,0
1982,Chinese,Widowed Man & Widowed Woman,1
1982,Indians,Single Man & Single Woman,61
1982,Indians,Single Man & Divorced Woman,0
1982,Indians,Single Man & Widowed Woman,0
1982,Indians,Divorced Man & Single Woman,3
1982,Indians,Divorced Man & Divorced Woman,0
1982,Indians,Divorced Man & Widowed Woman,0
1982,Indians,Widowed Man & Single Woman,0
1982,Indians,Widowed Man & Divorced Woman,0
1982,Indians,Widowed Man & Widowed Woman,0
1982,Others,Single Man & Single Woman,23
1982,Others,Single Man & Divorced Woman,1
1982,Others,Single Man & Widowed Woman,1
1982,Others,Divorced Man & Single Woman,1
1982,Others,Divorced Man & Divorced Woman,0
1982,Others,Divorced Man & Widowed Woman,0
1982,Others,Widowed Man & Single Woman,0
1982,Others,Widowed Man & Divorced Woman,0
1982,Others,Widowed Man & Widowed Woman,0
1982,Inter-ethnic,Single Man & Single Woman,65
1982,Inter-ethnic,Single Man & Divorced Woman,3
1982,Inter-ethnic,Single Man & Widowed Woman,0
1982,Inter-ethnic,Divorced Man & Single Woman,2
1982,Inter-ethnic,Divorced Man & Divorced Woman,1
1982,Inter-ethnic,Divorced Man & Widowed Woman,2
1982,Inter-ethnic,Widowed Man & Single Woman,0
1982,Inter-ethnic,Widowed Man & Divorced Woman,0
1982,Inter-ethnic,Widowed Man & Widowed Woman,0
1983,Total,Single Man & Single Woman,1213
1983,Total,Single Man & Divorced Woman,11
1983,Total,Single Man & Widowed Woman,4
1983,Total,Divorced Man & Single Woman,22
1983,Total,Divorced Man & Divorced Woman,3
1983,Total,Divorced Man & Widowed Woman,0
1983,Total,Widowed Man & Single Woman,7
1983,Total,Widowed Man & Divorced Woman,0
1983,Total,Widowed Man & Widowed Woman,3
1983,Chinese,Single Man & Single Woman,1090
1983,Chinese,Single Man & Divorced Woman,7
1983,Chinese,Single Man & Widowed Woman,2
1983,Chinese,Divorced Man & Single Woman,17
1983,Chinese,Divorced Man & Divorced Woman,1
1983,Chinese,Divorced Man & Widowed Woman,0
1983,Chinese,Widowed Man & Single Woman,6
1983,Chinese,Widowed Man & Divorced Woman,0
1983,Chinese,Widowed Man & Widowed Woman,2
1983,Indians,Single Man & Single Woman,57
1983,Indians,Single Man & Divorced Woman,0
1983,Indians,Single Man & Widowed Woman,0
1983,Indians,Divorced Man & Single Woman,3
1983,Indians,Divorced Man & Divorced Woman,0
1983,Indians,Divorced Man & Widowed Woman,0
1983,Indians,Widowed Man & Single Woman,1
1983,Indians,Widowed Man & Divorced Woman,0
1983,Indians,Widowed Man & Widowed Woman,1
1983,Others,Single Man & Single Woman,9
1983,Others,Single Man & Divorced Woman,0
1983,Others,Single Man & Widowed Woman,1
1983,Others,Divorced Man & Single Woman,0
1983,Others,Divorced Man & Divorced Woman,0
