year,level_1,value
1980,Total,1046
1980,Chinese,926
1980,Indians,62
1980,Others,13
1980,Inter-ethnic,45
1981,Total,1228
1981,Chinese,1103
1981,Indians,73
1981,Others,12
1981,Inter-ethnic,40
1982,Total,1306
1982,Chinese,1136
1982,Indians,70
1982,Others,26
1982,Inter-ethnic,74
1983,Total,1358
1983,Chinese,1203
1983,Indians,76
1983,Others,11
1983,Inter-ethnic,68
1984,Total,1391
1984,Chinese,1243
1984,Indians,79
1984,Others,11
1984,Inter-ethnic,58
1985,Total,1310
1985,Chinese,1125
1985,Indians,106
1985,Others,10
1985,Inter-ethnic,69
1986,Total,1485
1986,Chinese,1290
1986,Indians,108
1986,Others,12
1986,Inter-ethnic,75
1987,Total,1543
1987,Chinese,1321
1987,Indians,104
1987,Others,23
1987,Inter-ethnic,95
1988,Total,1643
1988,Chinese,1443
1988,Indians,98
1988,Others,14
1988,Inter-ethnic,88
1989,Total,1634
1989,Chinese,1429
1989,Indians,107
1989,Others,15
1989,Inter-ethnic,83
1990,Total,2178
1990,Chinese,1920
1990,Indians,144
1990,Others,20
1990,Inter-ethnic,94
1991,Total,2792
1991,Chinese,2502
1991,Indians,144
1991,Others,13
1991,Inter-ethnic,133
1992,Total,2565
1992,Chinese,2232
1992,Indians,185
1992,Others,16
1992,Inter-ethnic,132
1993,Total,2602
1993,Chinese,2293
1993,Indians,161
1993,Others,33
1993,Inter-ethnic,115
1994,Total,2503
1994,Chinese,2161
1994,Indians,188
1994,Others,22
1994,Inter-ethnic,132
1995,Total,3127
1995,Chinese,2689
1995,Indians,237
1995,Others,21
1995,Inter-ethnic,180
1996,Total,3368
1996,Chinese,2838
1996,Indians,282
1996,Others,66
1996,Inter-ethnic,182
1997,Total,3475
1997,Chinese,2998
1997,Indians,240
1997,Others,19
1997,Inter-ethnic,218
1998,Total,3924
1998,Chinese,3346
1998,Indians,309
1998,Others,28
1998,Inter-ethnic,241
1999,Total,3521
1999,Chinese,2897
1999,Indians,228
1999,Others,197
1999,Inter-ethnic,199
2000,Total,3336
2000,Chinese,2714
2000,Indians,193
2000,Others,223
2000,Inter-ethnic,206
2001,Total,3491
2001,Chinese,2882
2001,Indians,210
2001,Others,181
2001,Inter-ethnic,218
2002,Total,4006
2002,Chinese,3235
2002,Indians,233
2002,Others,253
2002,Inter-ethnic,285
2003,Total,4188
2003,Chinese,3425
2003,Indians,264
2003,Others,228
2003,Inter-ethnic,271
2004,Total,4193
2004,Chinese,3350
2004,Indians,252
2004,Others,18
2004,Inter-ethnic,215
2005,Total,4703
2005,Chinese,3969
2005,Indians,302
2005,Others,37
2005,Inter-ethnic,344
2006,Total,4745
2006,Chinese,3968
2006,Indians,339
2006,Others,32
2006,Inter-ethnic,381
2007,Total,5102
2007,Chinese,4250
2007,Indians,353
2007,Others,44
2007,Inter-ethnic,442
2008,Total,5170
2008,Chinese,4333
2008,Indians,344
2008,Others,49
2008,Inter-ethnic,428
2009,Total,5416
2009,Chinese,4493
2009,Indians,361
2009,Others,54
2009,Inter-ethnic,493
2010,Total,5433
2010,Chinese,4446
2010,Indians,366
2010,Others,64
2010,Inter-ethnic,546
2011,Total,5696
2011,Chinese,4595
2011,Indians,408
2011,Others,82
2011,Inter-ethnic,602
2012,Total,5306
2012,Chinese,4240
2012,Indians,336
2012,Others,91
2012,Inter-ethnic,628
2013,Total,5471
2013,Chinese,4331
2013,Indians,373
2013,Others,86
2013,Inter-ethnic,658
2014,Total,5172
2014,Chinese,4018
2014,Indians,352
2014,Others,89
2014,Inter-ethnic,701
2015,Total,5450
2015,Chinese,4121
2015,Indians,387
2015,Others,118
2015,Inter-ethnic,802
2016,Total,5505
2016,Chinese,4123
2016,Indians,380
2016,Others,119
2016,Inter-ethnic,853
2017,Total,5570
2017,Chinese,4090
2017,Indians,436
2017,Others,125
2017,Inter-ethnic,881
2018,Total,5308
2018,Chinese,3972
2018,Indians,383
2018,Others,112
2018,Inter-ethnic,804
