year,level_1,level_2,value
1980,Median Age Of Male Divorcees,Under The Women'S Charter,34.4
1980,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,32
1980,Median Age Of Female Divorcees,Under The Women'S Charter,31.4
1980,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,28
1980,Median Duration Of Marriage For Divorces,Under The Women'S Charter,9.5
1980,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,7
1981,Median Age Of Male Divorcees,Under The Women'S Charter,35
1981,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,32
1981,Median Age Of Female Divorcees,Under The Women'S Charter,31.7
1981,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,28
1981,Median Duration Of Marriage For Divorces,Under The Women'S Charter,9.6
1981,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,6.5
1982,Median Age Of Male Divorcees,Under The Women'S Charter,35.2
1982,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,33
1982,Median Age Of Female Divorcees,Under The Women'S Charter,32.1
1982,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,29
1982,Median Duration Of Marriage For Divorces,Under The Women'S Charter,9.3
1982,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,7.7
1983,Median Age Of Male Divorcees,Under The Women'S Charter,35.1
1983,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,32
1983,Median Age Of Female Divorcees,Under The Women'S Charter,31.8
1983,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,29
1983,Median Duration Of Marriage For Divorces,Under The Women'S Charter,9.5
1983,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,6.4
1984,Median Age Of Male Divorcees,Under The Women'S Charter,35.7
1984,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,32.6
1984,Median Age Of Female Divorcees,Under The Women'S Charter,32.3
1984,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,28.9
1984,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.2
1984,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,6.2
1985,Median Age Of Male Divorcees,Under The Women'S Charter,35.7
1985,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,32.8
1985,Median Age Of Female Divorcees,Under The Women'S Charter,32.1
1985,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,29.3
1985,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10
1985,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,5.8
1986,Median Age Of Male Divorcees,Under The Women'S Charter,36.4
1986,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,33.1
1986,Median Age Of Female Divorcees,Under The Women'S Charter,32.7
1986,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,29.5
1986,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.1
1986,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,5.7
1987,Median Age Of Male Divorcees,Under The Women'S Charter,36.6
1987,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,33.2
1987,Median Age Of Female Divorcees,Under The Women'S Charter,33
1987,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,29.7
1987,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.3
1987,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,6.3
1988,Median Age Of Male Divorcees,Under The Women'S Charter,37
1988,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,33.1
1988,Median Age Of Female Divorcees,Under The Women'S Charter,33.4
1988,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,29.7
1988,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.5
1988,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,6.3
1989,Median Age Of Male Divorcees,Under The Women'S Charter,37
1989,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,33.3
1989,Median Age Of Female Divorcees,Under The Women'S Charter,33.7
1989,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,30.2
1989,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.5
1989,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,6.2
1990,Median Age Of Male Divorcees,Under The Women'S Charter,36.8
1990,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,33.6
1990,Median Age Of Female Divorcees,Under The Women'S Charter,33.5
1990,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,30.1
1990,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.4
1990,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,6.4
1991,Median Age Of Male Divorcees,Under The Women'S Charter,37.3
1991,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,34.7
1991,Median Age Of Female Divorcees,Under The Women'S Charter,34.1
1991,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,31.5
1991,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.8
1991,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,7.2
1992,Median Age Of Male Divorcees,Under The Women'S Charter,37.9
1992,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,35.2
1992,Median Age Of Female Divorcees,Under The Women'S Charter,34.8
1992,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,31.9
1992,Median Duration Of Marriage For Divorces,Under The Women'S Charter,11.2
1992,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,7.4
1993,Median Age Of Male Divorcees,Under The Women'S Charter,37.8
1993,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,35.5
1993,Median Age Of Female Divorcees,Under The Women'S Charter,34.2
1993,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,32.6
1993,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.6
1993,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,7.3
1994,Median Age Of Male Divorcees,Under The Women'S Charter,38.3
1994,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,34.9
1994,Median Age Of Female Divorcees,Under The Women'S Charter,35.2
1994,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,32.2
1994,Median Duration Of Marriage For Divorces,Under The Women'S Charter,11.2
1994,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,7.5
1995,Median Age Of Male Divorcees,Under The Women'S Charter,38.6
1995,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,36.6
1995,Median Age Of Female Divorcees,Under The Women'S Charter,35.4
1995,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,33.8
1995,Median Duration Of Marriage For Divorces,Under The Women'S Charter,11.2
1995,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,8
1996,Median Age Of Male Divorcees,Under The Women'S Charter,39.1
1996,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,36.5
1996,Median Age Of Female Divorcees,Under The Women'S Charter,35.8
1996,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,33.9
1996,Median Duration Of Marriage For Divorces,Under The Women'S Charter,11.1
1996,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,7.6
1997,Median Age Of Male Divorcees,Under The Women'S Charter,39.1
1997,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,36.2
1997,Median Age Of Female Divorcees,Under The Women'S Charter,35.7
1997,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,33
1997,Median Duration Of Marriage For Divorces,Under The Women'S Charter,11
1997,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,7.1
1998,Median Age Of Male Divorcees,Under The Women'S Charter,39.3
1998,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,37.3
