year,level_1,level_2,level_3,value
1980,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,1046
1980,Total Divorces And Annulments,Total Divorces,Divorces Under The Administration Of Muslim Law Act,505
1981,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,1228
1981,Total Divorces And Annulments,Total Divorces,Divorces Under The Administration Of Muslim Law Act,614
1982,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,1306
1982,Total Divorces And Annulments,Total Divorces,Divorces Under The Administration Of Muslim Law Act,536
1983,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,1358
1983,Total Divorces And Annulments,Total Divorces,Divorces Under The Administration Of Muslim Law Act,711
1984,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,1391
1984,Total Divorces And Annulments,Total Divorces,Divorces Under The Administration Of Muslim Law Act,637
1985,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,1310
1985,Total Divorces And Annulments,Total Divorces,Divorces Under The Administration Of Muslim Law Act,738
1986,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,1485
1986,Total Divorces And Annulments,Total Divorces,Divorces Under The Administration Of Muslim Law Act,786
1987,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,1543
1987,Total Divorces And Annulments,Total Divorces,Divorces Under The Administration Of Muslim Law Act,796
1988,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,1643
1988,Total Divorces And Annulments,Total Divorces,Divorces Under The Administration Of Muslim Law Act,893
1989,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,1634
1989,Total Divorces And Annulments,Total Divorces,Divorces Under The Administration Of Muslim Law Act,907
1990,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,2178
1990,Total Divorces And Annulments,Total Divorces,Divorces Under The Administration Of Muslim Law Act,972
1991,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,2792
1991,Total Divorces And Annulments,Total Divorces,Divorces Under The Administration Of Muslim Law Act,1021
1992,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,2565
1992,Total Divorces And Annulments,Total Divorces,Divorces Under The Administration Of Muslim Law Act,1002
1993,Total Divorces And Annulments,Total Divorces,Divorces Under The Women'S Charter,2602
