year,level_1,level_2,value
1984,Total,Same Age,2506
1984,Total,Groom Older By 1 Year,3069
1984,Total,Groom Older By 2 Years,3168
1984,Total,Groom Older By 3 Years,3036
1984,Total,Groom Older By 4 Years,2590
1984,Total,Groom Older By 5 Years,1977
1984,Total,Groom Older By 6 Years,1416
1984,Total,Groom Older By 7 Years,1137
1984,Total,Groom Older By 8 Years,784
1984,Total,Groom Older By 9 Years,516
1984,Total,Groom Older By 10 Years,347
1984,Total,Groom Older By 11 Years,255
1984,Total,Groom Older By 12 Years,167
1984,Total,Groom Older By 13 Years,117
1984,Total,Groom Older By 14 Years,82
1984,Total,Groom Older By 15-19 Years,211
1984,Total,Groom Older By 20-24 Years,71
1984,Total,Groom Older By 25 Years & Over,39
1984,Total,Groom Younger By 1 Year,1334
1984,Total,Groom Younger By 2 Years,643
1984,Total,Groom Younger By 3 Years,362
1984,Total,Groom Younger By 4 Years,215
1984,Total,Groom Younger By 5-9 Years,357
1984,Total,Groom Younger By 10 Years & Over,68
1984,First Marriages,Same Age,2404
1984,First Marriages,Groom Older By 1 Year,2957
1984,First Marriages,Groom Older By 2 Years,3019
1984,First Marriages,Groom Older By 3 Years,2922
1984,First Marriages,Groom Older By 4 Years,2470
1984,First Marriages,Groom Older By 5 Years,1857
1984,First Marriages,Groom Older By 6 Years,1291
1984,First Marriages,Groom Older By 7 Years,1012
1984,First Marriages,Groom Older By 8 Years,680
1984,First Marriages,Groom Older By 9 Years,436
1984,First Marriages,Groom Older By 10 Years,270
1984,First Marriages,Groom Older By 11 Years,191
1984,First Marriages,Groom Older By 12 Years,117
1984,First Marriages,Groom Older By 13 Years,71
1984,First Marriages,Groom Older By 14 Years,45
1984,First Marriages,Groom Older By 15-19 Years,89
1984,First Marriages,Groom Older By 20-24 Years,19
1984,First Marriages,Groom Older By 25 Years & Over,8
1984,First Marriages,Groom Younger By 1 Year,1229
1984,First Marriages,Groom Younger By 2 Years,585
1984,First Marriages,Groom Younger By 3 Years,311
1984,First Marriages,Groom Younger By 4 Years,168
1984,First Marriages,Groom Younger By 5-9 Years,244
1984,First Marriages,Groom Younger By 10 Years & Over,25
1984,Remarriages,Same Age,102
1984,Remarriages,Groom Older By 1 Year,112
1984,Remarriages,Groom Older By 2 Years,149
1984,Remarriages,Groom Older By 3 Years,114
1984,Remarriages,Groom Older By 4 Years,120
1984,Remarriages,Groom Older By 5 Years,120
1984,Remarriages,Groom Older By 6 Years,125
1984,Remarriages,Groom Older By 7 Years,125
1984,Remarriages,Groom Older By 8 Years,104
1984,Remarriages,Groom Older By 9 Years,80
1984,Remarriages,Groom Older By 10 Years,77
1984,Remarriages,Groom Older By 11 Years,64
1984,Remarriages,Groom Older By 12 Years,50
1984,Remarriages,Groom Older By 13 Years,46
1984,Remarriages,Groom Older By 14 Years,37
1984,Remarriages,Groom Older By 15-19 Years,122
1984,Remarriages,Groom Older By 20-24 Years,52
1984,Remarriages,Groom Older By 25 Years & Over,31
1984,Remarriages,Groom Younger By 1 Year,105
1984,Remarriages,Groom Younger By 2 Years,58
1984,Remarriages,Groom Younger By 3 Years,51
1984,Remarriages,Groom Younger By 4 Years,47
1984,Remarriages,Groom Younger By 5-9 Years,113
1984,Remarriages,Groom Younger By 10 Years & Over,43
1985,Total,Same Age,2520
1985,Total,Groom Older By 1 Year,2981
1985,Total,Groom Older By 2 Years,3006
1985,Total,Groom Older By 3 Years,2770
1985,Total,Groom Older By 4 Years,2429
1985,Total,Groom Older By 5 Years,1911
1985,Total,Groom Older By 6 Years,1332
1985,Total,Groom Older By 7 Years,1015
1985,Total,Groom Older By 8 Years,720
1985,Total,Groom Older By 9 Years,455
1985,Total,Groom Older By 10 Years,355
1985,Total,Groom Older By 11 Years,242
1985,Total,Groom Older By 12 Years,157
1985,Total,Groom Older By 13 Years,109
1985,Total,Groom Older By 14 Years,79
1985,Total,Groom Older By 15-19 Years,194
1985,Total,Groom Older By 20-24 Years,62
1985,Total,Groom Older By 25 Years & Over,28
1985,Total,Groom Younger By 1 Year,1192
1985,Total,Groom Younger By 2 Years,585
1985,Total,Groom Younger By 3 Years,328
